"CONTEXT (DO NOT MODIFY)","ENGLISH (DO NOT MODIFY)","LOCALIZED (EDIT THIS COLUMN)"
"speech:ask-wrong-purpose","This entry permit purpose does not match.","This entry permit purpose does not match."
"speech:mistake-prefix","Right.","Right."
"speech:mistake-prefix","I make mistake.","I make mistake."
"speech:mistake-prefix","Yes, of course.","Yes, of course."
"speech:mistake-prefix","Apologies.","Apologies."
"speech:wrong-purpose","$mistake-prefix I am just visiting.","$mistake-prefix I am just visiting."
"speech:wrong-purpose","$mistake-prefix I just pass through.","$mistake-prefix I just pass through."
"speech:wrong-purpose","$mistake-prefix I have come to work.","$mistake-prefix I have come to work."
"speech:wrong-purpose","$mistake-prefix I move here permanently.","$mistake-prefix I move here permanently."
"speech:ask-duration","Duration of stay?","Duration of stay?"
"speech:random-stay","I stay","I stay"
"speech:random-stay","I remain for","I remain for"
"speech:random-stay","It will be","It will be"
"speech:state-duration","$random-stay forever.","$random-stay forever."
"speech:state-duration","$random-stay until I die.","$random-stay until I die."
"speech:state-duration","I don't plan to leave.","I don't plan to leave."
"speech:state-duration","$random-stay just 2 days.","$random-stay just 2 days."
"speech:state-duration","$random-stay couple days.","$random-stay couple days."
"speech:state-duration","$random-stay just 14 days.","$random-stay just 14 days."
"speech:state-duration","$random-stay couple weeks.","$random-stay couple weeks."
"speech:state-duration","$random-stay only two weeks.","$random-stay only two weeks."
"speech:state-duration","$random-stay 30 days.","$random-stay 30 days."
"speech:state-duration","$random-stay a few weeks.","$random-stay a few weeks."
"speech:state-duration","$random-stay one month.","$random-stay one month."
"speech:state-duration","$random-stay 60 days.","$random-stay 60 days."
"speech:state-duration","$random-stay 8 weeks.","$random-stay 8 weeks."
"speech:state-duration","$random-stay couple months.","$random-stay couple months."
"speech:state-duration","$random-stay two months.","$random-stay two months."
"speech:state-duration","$random-stay 90 days.","$random-stay 90 days."
"speech:state-duration","$random-stay 12 weeks.","$random-stay 12 weeks."
"speech:state-duration","$random-stay three months.","$random-stay three months."
"speech:state-duration","$random-stay a few months.","$random-stay a few months."
"speech:state-duration","$random-stay six months.","$random-stay six months."
"speech:state-duration","$random-stay half a year.","$random-stay half a year."
"speech:state-duration","$random-stay one year.","$random-stay one year."
"speech:state-duration","$random-stay full year.","$random-stay full year."
"speech:state-duration","$random-stay a year.","$random-stay a year."
"speech:ask-wrong-duration","The length of your stay is different.","The length of your stay is different."
"speech:wrong-duration","$mistake-prefix $state-duration","$mistake-prefix $state-duration"
"speech:ask-forgery-missing","This document is missing its seal.","This document is missing its seal."
"speech:ask-forgery-missing","There is no seal here.","There is no seal here."
"speech:ask-forgery-missing","I do not see the required seal here.","I do not see the required seal here."
"speech:ask-forgery-wrong","This document is forged.","This document is forged."
"speech:ask-forgery-wrong","This is a forgery.","This is a forgery."
"speech:ask-forgery-idcard","This card contains false information.","This card contains false information."
"speech:ask-forgery-diplo","This seal is forged.","This seal is forged."
"speech:ask-forgery-diplo","This seal is not correct.","This seal is not correct."
"speech:ask-forgery-asylumgrant","This seal is forged.","This seal is forged."
"speech:ask-forgery-asylumgrant","This grant is not sealed properly.","This grant is not sealed properly."
"speech:ask-wrong-birthdate","These dates do not match.","These dates do not match."
"speech:forgery","I have no idea what you are talking about.","I have no idea what you are talking about."
"speech:forgery","I do not know anything about that.","I do not know anything about that."
"speech:forgery","I do not understand.","I do not understand."
"speech:ask-expired-paper","This document has expired.","This document has expired."
"speech:ask-expired-paper","You cannot enter using an expired document.","You cannot enter using an expired document."
"speech:expired-permit","I could not come until now.","I could not come until now."
"speech:expired-permit","I was busy.","I was busy."
"speech:expired-passport","What? That is mistake. I just renewed it.","What? That is mistake. I just renewed it."
"speech:expired-passport","That must be a typographical error.","That must be a typographical error."
"speech:expired-asylumgrant","There was nothing I could do.","There was nothing I could do."
"speech:expired-asylumgrant","My travel was difficult.","My travel was difficult."
"speech:expired-asylumgrant","Please, have mercy.","Please, have mercy."
"speech:ask-missing-passport","Where is passport?","Where is passport?"
"speech:ask-missing-passport","A passport is required.","A passport is required."
"speech:missing-passport","They took away my passport.","They took away my passport."
"speech:missing-passport","What is passport?","What is passport?"
"speech:ask-missing-entrypermit","Where is the entry permit?","Where is the entry permit?"
"speech:ask-missing-entrypermit","You have no entry permit.","You have no entry permit."
"speech:ask-missing-entrypermit","The entry permit is missing.","The entry permit is missing."
"speech:missing-permit","I was not able to get one.","I was not able to get one."
"speech:missing-permit","What is that?","What is that?"
"speech:missing-permit","Do I need one?","Do I need one?"
"speech:missing-permit","Is required?","Is required?"
"speech:missing-permit","I lost it.","I lost it."
"speech:missing-permit","I did not know it was required.","I did not know it was required."
"speech:ask-missing-workpermit","Where is the work pass?","Kde je pracovni pas?"
"speech:ask-missing-workpermit","You have no work pass.","Nemate pracovni pas."
"speech:ask-missing-workpermit","The work pass is missing.","Chybi vam pracovni pas."
"speech:missing-workpermit","I will get one after I enter.","I will get one after I enter."
"speech:ask-missing-idcard","Where is your id card?","Where is your id card?"
"speech:ask-missing-idcard","I need your id card.","I need your id card."
"speech:missing-idcard","I never got one.","I never got one."
"speech:missing-idcard","I left before they were issued.","I left before they were issued."
"speech:missing-idcard","I lost it.","I lost it."
"speech:ask-missing-idsupplement","You must carry an id supplement.","You must carry an id supplement."
"speech:ask-missing-idsupplement","Where is your id supplement?","Where is your id supplement?"
"speech:missing-idsupplement","I never got one.","I never got one."
"speech:missing-idsupplement","What is a supplement?","What is a supplement?"
"speech:missing-idsupplement","This was not provided to me.","This was not provided to me."
"speech:ask-missing-asylumgrant","You have no grant for asylum.","Nepate povoleni k azylu."
"speech:ask-missing-asylumgrant","Where is your asylum grant?","Kde je vase povoleni k azylu?"
"speech:missing-asylumgrant","I could not secure one in time.","I could not secure one in time."
"speech:missing-asylumgrant","I have none.","Nemám nic."
"speech:missing-asylumgrant","What is that?","Co to je?"
"speech:ask-missing-accesspermit","Where is the access permit?","Kde je povoleni k pristupu?"
"speech:ask-missing-accesspermit","You have no access permit.","Nemate povoleni k pristupu."
"speech:ask-missing-accesspermit","The access permit is missing.","Chybí vám povolení k prístupu."
"speech:ask-wrong-name","These names do not match.","Tyhle jména se neschodují."
"speech:wrong-name","I have two different names.","Mam dve odlisná jména."
"speech:wrong-name","I have multiple names.","Mám více jmen."
"speech:wrong-name","My name was changed recently.","Nedávno mi menili jméno."
"speech:ask-wrong-workend","You are not authorized to work this long.","Nemáte povolení pracovat takhle dlouho."
"speech:ask-wrong-workend","This work pass expires before your visit.","Tohle povolení proslo jeste pred vasí nástevou."
"speech:wrong-workend","I will renew the pass soon.","Brzo si obnovím pas."
"speech:wrong-workend","I am planning to renew it.","Plánuju si ho obnovit."
"speech:wrong-workend","My entry permit is longer than I need.","Moje povolení ke vstupu je delsí nez já potrebuji."
"speech:ask-wrong-idnumber","These numbers do not match.","Tyhle cisla se neschoduji."
"speech:ask-wrong-idnumber","There is a discrepancy here.","Je tu nesrovnalost."
"speech:ask-wrong-idnumber","There are two different numbers here.","Tady sou dve odlisná císla..."
"speech:wrong-idnumber","It must be a mistake. The document is valid.","To musí byt chyba. Dokument je urcite v porádku."
"speech:wrong-idnumber","Check again.","Zkouknete to prosim znova."
"speech:ask-wrong-face","This does not look like you.","To nevypada jako vy."
"speech:ask-wrong-face","Your picture. It is different.","Vase fotka.Je rozdílna."
"speech:ask-wrong-face","Your appearance has changed.","Vás vzhled se zmenil."
"speech:wrong-face","It is an old picture.","To je jen stará fotka."
"speech:wrong-face","I had surgery.","Jsem po plastické operaci."
"speech:wrong-face","The years have been cruel.","Roky byly kruté."
"speech:wrong-face","I do not know what to say. It is me.","Nemam vůbec tusení o cem to mluvíte.To jsem já."
"speech:ask-wrong-issuingcity","This issuing city is incorrect.","Toto mesto nesouhlasí."
"speech:ask-wrong-issuingcity","Your passport has false information.","Ve vasem pasu jsou spatné informace."
"speech:ask-wrong-gender","You are a man?","Vy ste muz ?"
"speech:ask-wrong-gender","It says here that you are male.","Tady se pise ze ste muz."
"speech:ask-wrong-gender","You are a woman?","Vy ste zena?"
"speech:ask-wrong-gender","Your passport says you are female.","Tady se pise ze ste zena."
"speech:ask-wrong-gender","Are you a woman or a man?","Ste zena nebo muz?"
"speech:ask-wrong-gender","You are male or female?","Ste muz nebo zena?"
"speech:wrong-gender","The passport is correct.","Pas je v porádku."
"speech:wrong-gender","Why do you ask?","Proc se ptáte?"
"speech:wrong-gender","As the document says.","Jak je v dokumentu."
"speech:wrong-gender","What is this question?","Co je to za otázku?"
"speech:ask-wrong-gender-busted","There is a problem with your documentation.","There is a problem with your documentation."
"speech:ask-approved","Glory to Arstotzka.","Sláva Arstotzce."
"speech:ask-approved","Cause no trouble.","Bez problému."
"speech:ask-nativesonly","Try again.","Zkuste to znova."
"speech:ask-nativesonly","Arstotzkans only.","Vstup jen pro Arstotzkany."
"speech:ask-wrong-nation","No entry from Obristan.","Zakaz vstupu z Obristánu."
"speech:ask-wrong-nation","No entry from Kolechia.","Zakaz vstupu z Kolechie."
"speech:ask-wrong-nation","No entry from United Federation.","Zakaz vstupu z United Federation."
"speech:ask-wrong-nation","No entry from Antegria.","Zakaz vstupu z Antegrie."
"speech:ask-wrong-nation","No entry from Republia.","Zakaz vstupu z Republie."
"speech:ask-wrong-nation","No entry from Arstotzka.","Zakaz vstupu z Arstotzky."
"speech:ask-wrong-nation","No entry from Impor.","Zakaz vstupu z Imporu."
"speech:ask-search","Face the scanner.","Podivejte se do skeneru."
"speech:ask-search","Turn towards the scanner.","Otocte se ke skeneru."
"speech:ask-detain","Wait here.","Pockejte zde."
"speech:ask-detain","One moment please.","Chvilku strpení prosím."
"speech:detain","What are you doing?","Co to deláte?"
"speech:detain","What is happening?","Co se deje?"
"speech:detain","What is this?","Co to je?"
"speech:detain","You cannot do this!","Tohle nemůtete!"
"speech:detain","What will happen to me?","Co se mi stane?"
"speech:detain","Who do you think you are?","Co si myslis ze jsi?"
"speech:detain","You have no authority for this!","Na tohle nemáte právo!"
"speech:detain","You are a fool!","Jsi idiot!"
"speech:ask-search-enabled","You have been selected for a random search.","You have been selected for a random search."
"speech:ask-wrong-entryticket-date","This ticket is for another day.","This ticket is for another day."
"speech:ask-wrong-entryticket-date","You cannot enter today.","You cannot enter today."
"speech:ask-wrong-entryticket-date","The date on this ticket is wrong.","The date on this ticket is wrong."
"speech:wrong-entryticket-date","It is my mistake.","It is my mistake."
"speech:wrong-entryticket-date","Oh?","Oh?"
"speech:ask-missing-entryticket","You cannot enter without a ticket.","You cannot enter without a ticket."
"speech:ask-missing-entryticket","Foreigners must present an entry ticket.","Foreigners must present an entry ticket."
"speech:ask-missing-entryticket","Where is your entry ticket?","Where is your entry ticket?"
"speech:missing-entryticket","I do not know what that is.","I do not know what that is."
"speech:missing-entryticket","I have none.","I have none."
"speech:missing-entryticket","It was lost.","It was lost."
"speech:ask-wrong-identity","I cannot verify your identity.","I cannot verify your identity."
"speech:ask-wrong-identity","Your identity does not match.","Your identity does not match."
"speech:ask-wrong-alias","There is no record of this name.","There is no record of this name."
"speech:ask-wrong-alias","I cannot verify your alias.","I cannot verify your alias."
"speech:ask-wrong-fingerprints","Your fingerprints do not match our records.","Your fingerprints do not match our records."
"speech:ask-wrong-fingerprints","I cannot verify your fingerprints.","I cannot verify your fingerprints."
"speech:ask-contraband","There is zero tolerance for contraband.","There is zero tolerance for contraband."
"speech:ask-contraband","You have made a mistake coming here.","You have made a mistake coming here."
"speech:contraband","You can see that?","You can see that?"
"speech:contraband","What?","What?"
"speech:contraband","I know nothing.","I know nothing."
"speech:contraband","Is it so obvious?","Is it so obvious?"
"speech:ask-wrong-information","This information does not look correct.","This information does not look correct."
"speech:ask-wrong-information","This is incorrect.","This is incorrect."
"speech:ask-wrong-height","Your height is different.","Your height is different."
"speech:wrong-height","Perhaps my shoes are different.","Perhaps my shoes are different."
"speech:wrong-height","It is a natural difference.","It is a natural difference."
"speech:ask-wrong-weight","Your weight is different.","Your weight is different."
